id,company_id,project_number,name,description,customer_id,manager_id,status,start_date,target_end_date,actual_end_date,budget_amount,actual_cost,billable
cb66e054-0ca8-441f-9f95-5e63d3cb8a40,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0003,Spring Marketing Campaign,Seasonal marketing push,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-06-02,2023-07-02,2023-07-21,7433.03,830.05,False
ffc4c097-f4fc-43b9-ab7e-dcecafcd4b8e,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0002,Website Redesign,New e-commerce website build,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-06-08,2023-08-07,2023-08-15,17096.65,3099.69,False
045d958e-0fa2-44d9-9231-5b7e327e11f9,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0001,Store Renovation,Major store fitout and renovation,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-06-07,2023-09-05,2023-09-29,46014.50,4278.33,False
87b49e87-bb32-4f14-b1cb-9f56fef937e7,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0004,Annual Stocktake,Full inventory count and reconciliation,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-11-09,2023-11-23,2023-11-23,2848.43,444.86,False
bf288368-b511-4faa-a968-0ffcae6d1c23,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0005,Staff Training Program,Customer service training rollout,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-11-23,2024-01-07,2024-01-15,4682.07,2585.94,False
e1cc1a80-0071-4975-bbf2-88d76b0cd69f,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0006,POS System Upgrade,Upgrade point-of-sale hardware and software,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2023-12-22,2024-01-21,2024-02-22,10877.38,2911.97,False
239fb7bc-1f87-40b9-9304-0dec5ad0441d,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0007,Christmas Season Prep,Seasonal stock and display preparation,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2024-06-28,2024-08-12,2024-09-06,8828.64,4586.00,False
ca5c50c4-f8f6-4660-900b-2248f3628f1b,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0008,Supplier Review,Annual supplier evaluation and negotiation,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2024-08-23,2024-09-13,2024-09-24,2211.44,1512.58,False
6a562eed-e0b5-460a-bac6-689757042b8b,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0009,Safety Compliance Audit,WHS compliance review,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2024-08-30,2024-09-13,2024-10-08,4025.34,1437.29,False
8d7075dd-563a-447c-b2f1-c922ed7d4e7c,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,PRJ-0010,Loyalty Program Launch,New customer loyalty program,,016df4b3-8506-46fc-ad24-b734ce32aaaa,completed,2024-12-17,2025-02-15,2025-03-13,6718.27,3991.01,False
